id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
247,Union Station,3/31/2014,T,0.99,9,Entire home/apt,4,1 bath,1,1,179,2
250,Dupont Circle,6/5/2013,F,0.8,1,Entire home/apt,3,1 bath,1,1,200,31
251,Dupont Circle,3/5/2015,T,0.73,6,Entire home/apt,6,1 bath,2,5,130,31
252,Dupont Circle,2/19/2015,F,1,16,Entire home/apt,3,1 bath,,2,64,91
253,Dupont Circle,2/19/2015,F,1,16,Entire home/apt,4,1 bath,1,1,87,91
255,Georgetown,5/7/2015,T,1,1,Entire home/apt,1,1 bath,1,1,100,28
256,Shaw,8/2/2015,F,0.78,1,Entire home/apt,2,1.5 baths,1,1,224,31
259,Dupont Circle,8/10/2015,T,1,7,Entire home/apt,2,1 bath,1,1,133,31
260,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,135,31
261,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,2,1 bath,1,2,178,31
264,Foggy Bottom,3/5/2015,T,0.73,6,Entire home/apt,6,1 bath,3,6,130,31
266,Foggy Bottom,10/25/2013,F,0.5,4,Entire home/apt,2,1 bath,1,1,82,31
267,Foggy Bottom,6/15/2014,T,0.93,3,Entire home/apt,2,1 bath,1,2,157,31
268,Dupont Circle,11/27/2013,T,1,30,Entire home/apt,2,1 bath,1,1,160,31
269,Union Station,10/5/2014,T,1,1,Entire home/apt,6,1 bath,2,2,209,3
272,Foggy Bottom,9/9/2015,F,,1,Entire home/apt,2,1 bath,1,1,112,59
275,Dupont Circle,4/15/2018,F,,1,Entire home/apt,2,1 bath,1,1,153,2
278,Shaw,10/8/2013,T,1,4,Entire home/apt,6,2 baths,2,2,128,31
282,Foggy Bottom,6/29/2015,T,1,4,Entire home/apt,8,2.5 baths,4,5,539,3
284,Georgetown,9/17/2015,F,,2,Entire home/apt,8,2 baths,4,4,90,31
285,Union Station,7/12/2013,T,1,4,Entire home/apt,2,1 bath,1,2,129,2
287,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,135,31
288,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,140,31
289,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,148,31
290,Dupont Circle,8/10/2015,T,1,7,Entire home/apt,2,1 bath,1,1,133,3
291,Dupont Circle,8/10/2015,T,1,7,Entire home/apt,2,1 bath,1,1,138,3
293,Union Station,10/9/2015,F,,1,Entire home/apt,3,1 bath,,2,69,182
294,Union Station,10/28/2013,F,,1,Entire home/apt,6,2.5 baths,2,2,200,31
295,Union Station,10/11/2015,F,1,5,NA,2,1.5 shared baths,,1,108,2
296,Georgetown,5/18/2009,F,0.99,164,Entire home/apt,5,2 baths,3,5,188,31
297,Union Station,10/15/2015,T,0.98,284,Entire home/apt,6,1 bath,2,4,249,2
298,Union Station,10/15/2015,T,0.98,284,Entire home/apt,6,1 bath,2,3,219,2
299,Union Station,10/15/2015,T,0.98,284,Entire home/apt,6,1 bath,2,3,486,3
301,Shaw,8/3/2010,F,0.81,1,Entire home/apt,2,1 bath,1,1,125,3
302,Capitol Hill,10/25/2015,T,0.98,2,Entire home/apt,2,1 bath,1,1,148,1
303,Capitol Hill,6/8/2012,F,0.82,3,Entire home/apt,6,2 baths,3,2,388,31
305,Capitol Hill,4/11/2013,T,0.99,1,Entire home/apt,6,1 bath,2,3,209,1
306,Union Station,9/23/2013,T,0.99,4,Entire home/apt,10,3.5 baths,5,5,475,4
307,Dupont Circle,7/3/2013,T,0.99,2,Entire home/apt,3,1.5 baths,1,1,298,2
308,Capitol Hill,11/1/2015,F,0.94,1,Entire home/apt,4,1 bath,1,3,190,4
309,Union Station,5/18/2015,F,1,1,Entire home/apt,4,1 bath,1,2,109,2
310,Capitol Hill,3/22/2014,T,0.79,4,Entire home/apt,5,1 bath,1,3,145,14
311,Georgetown,1/23/2014,F,0.97,8,Entire home/apt,5,1 bath,2,6,85,31
312,Union Station,11/27/2013,T,1,30,Entire home/apt,4,1 bath,2,2,270,31
313,Dupont Circle,10/15/2015,T,0.98,284,Entire home/apt,4,2 baths,2,2,210,2
315,Foggy Bottom,7/5/2015,F,0.2,9,Entire home/apt,4,1 bath,1,2,145,31
317,Capitol Hill,3/30/2014,T,0.8,1,Entire home/apt,2,1 bath,1,1,90,31
320,Capitol Hill,10/19/2013,F,,4,Entire home/apt,4,1 bath,2,1,160,31
321,Capitol Hill,5/18/2015,F,1,1,Entire home/apt,2,1 bath,1,1,141,1
324,Capitol Hill,1/8/2013,F,,1,Entire home/apt,4,1.5 baths,2,2,310,31
325,Foggy Bottom,12/3/2015,F,,1,Entire home/apt,3,1 bath,1,1,85,31
326,Union Station,10/7/2014,T,1,3,Entire home/apt,2,1 bath,,1,100,2
327,Foggy Bottom,6/9/2015,F,,1,Entire home/apt,2,1 bath,1,1,70,31
330,Georgetown,2/10/2015,F,0.98,2,Entire home/apt,4,1 bath,1,2,151,2
336,Capitol Hill,9/21/2015,F,,2,Entire home/apt,3,1 bath,,2,80,31
337,Shaw,12/25/2014,F,1,3,Entire home/apt,6,2.5 baths,2,2,309,2
339,Shaw,9/4/2012,F,0.78,6,Entire home/apt,4,1 bath,1,2,120,600
341,Dupont Circle,8/1/2015,F,,5,Entire home/apt,2,1 bath,,1,95,31
346,Union Station,1/7/2016,F,0.33,2,Entire home/apt,3,1 bath,1,2,155,31
348,Capitol Hill,7/19/2014,T,1,9,Entire home/apt,4,1 bath,1,2,209,1
349,Union Station,1/12/2016,T,1,1,Entire home/apt,4,1 bath,1,2,129,3
350,Capitol Hill,1/6/2016,T,1,18,Entire home/apt,2,1 bath,,1,112,31
351,Capitol Hill,1/6/2016,T,1,18,NA,4,1 bath,1,2,298,31
352,Capitol Hill,1/6/2016,T,1,18,Entire home/apt,4,1 bath,1,2,214,2
353,Capitol Hill,10/11/2015,F,1,1,Entire home/apt,4,1 bath,1,1,154,2
354,Union Station,10/11/2015,F,1,5,Entire home/apt,8,2.5 baths,3,3,587,2
355,Capitol Hill,6/15/2014,T,1,3,Entire home/apt,2,1 bath,,1,105,2
358,Union Station,10/11/2015,F,1,5,Private room,2,1.5 shared baths,,1,118,2
359,Capitol Hill,9/28/2014,F,0,2,Entire home/apt,2,1 bath,,1,95,31
