listing_id,total_reviews,avg_rating
1125,149,4.97
1126,113,4.97
1127,1,5
1128,154,4.4
1129,42,4.95
1130,54,4.74
1131,56,4.77
1132,24,4.57
1133,147,4.88
1134,2,3.5
1135,103,4.87
1136,116,4.91
1137,206,4.8
1138,131,4.94
1139,7,4.86
1140,158,4.7
1141,101,4.94
1142,131,4.69
1143,160,4.97
1144,90,4.99
1145,201,4.93
1146,19,3.93
1147,36,4.97
1148,37,4.92
1149,99,4.9
1150,60,4.95
1151,166,4.95
1152,10,4.9
1153,32,4.91
1154,223,4.95
1155,4,5
1156,22,4.95
1157,100,4.67
1158,39,5
1159,83,4.71
1160,3,5
1161,1,5
1162,110,5
1163,115,4.92
1164,187,4.91
1165,165,4.91
1166,2,5
1167,354,4.9
1168,42,4.98
1169,21,4.79
1170,288,4.92
1171,240,4.88
1172,246,4.78
1173,210,4.86
1174,90,4.72
1175,359,4.56
1176,29,4.9
1177,443,4.87
1178,1,5
1179,18,4.44
1180,16,4.63
1181,52,4.44
1182,17,4.71
1183,139,4.83
1184,123,4.81
1185,137,4.88
1186,252,4.91
1187,153,
1188,52,
1189,12,
1190,35,4.66
1191,92,4.91
1192,122,4.76
1193,8,5
1194,11,4.36
1195,6,4.33
1196,36,4.8
1197,1,4
1198,29,5
1199,86,4.93
1200,143,4.94
1201,113,5
1202,4,3.33
1203,135,4.88
1204,2,5
1205,93,4.75
1206,2,5
1207,2,5
1208,95,4.58
1209,32,4.87
1210,244,4.98
1211,5,4.6
1212,176,4.91
1213,9,5
1214,243,4.96
1215,7,3.6
1216,51,4.94
1217,70,4.74
1218,236,4.82
1219,162,4.59
1220,37,4.78
1221,17,5
1222,134,4.68
1223,28,5
1224,261,4.8
1225,15,4.67
1226,2,3.5
1227,1,4
1228,28,4.96
1229,13,4.77
1230,15,4.8
1231,116,4.56
1232,123,4.76
1233,69,4.91
1234,62,4.87
1235,63,4.95
1236,38,4.95
1237,146,4.93
1238,186,4.99
1239,2,5
1240,22,4.82
1241,1,3
1242,2,5
1243,172,4.83
1244,26,4.65
1245,79,4.89
1246,85,
1247,246,
1248,100,4.88
1249,101,4.96
1250,300,4.73
